studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
RE-LY-ABLE,RELY-ABLE Long Term Multi-Center Extension of Dabigatran Treatment in Patients With Atrial Fibrillation Who Completed the RE-LY Trial and a Cluster Randomised Trial to Assess the Effect of a Knowledge Translation Intervention on Patient Outcomes,5,Arrhythmia,"To establish the long term safety of dabigatran etexilate and to assess the efficacy of a knowledge translation intervention on the prognosis, cardiovascular risk profile and quality of care in patients with atrial fibrillation (AF).

Since the objective of this trial is safety, there are no primary efficacy endpoints. Safety will primarily be determined by the occurrence of major bleeding. Secondary Endpoint: Individual and composite incidence of stroke, non CNS systemic embolism, pulmonary embolism, acute myocardial infarction, deep vein thrombosis and all deaths. Outcome events are adjudicated.
",Publication,Interventional - Drug,2008,2013,,,35,598,5851
REMEDY,Rheumatic Heart Disease,16,Heart Failure,"To document clinical and echocardiographic characteristics of patients at presentation and; document disease progression and treatment practices over a 2-year follow-up with particular reference to adherence to secondary prophylaxis and oral anticoagulation regimens.

",Publication,Observational - Registry,2010,2016,PHRI,,14,25,3343
REMIT,"Remission Evaluation of Metabolic Interventions in Type 2 Diabetes (REMIT): 
A Randomized Controlled Pilot Trial
",3,Diabetes,"To determine whether a short-term intensive metabolic intervention comprising lifestyle approaches, oral glucose-lowering agents and long-acting insulin can normalize blood glucose levels in patients with recently diagnosed T2DM

There are two primary outcomes in this pilot trial. The first primary outcome is the proportion of participants in the 8-week intervention group and the control group achieving a mean fasting capillary blood glucose â‰¤ 5.4 mmol/l and a mean 2-hour pc blood glucose â‰¤ 6.8 mmol/l on two seven-point glucose profiles during the 8th week of treatment. The second primary outcome is the proportion of participants in the 16-week intervention group and the control group achieving a mean fasting capillary blood glucose â‰¤ 5.4 mmol/l and a mean 2-hour pc blood glucose â‰¤ 6.8 mmol/l on two seven-point glucose profiles during the 16th week of treatment.
",Publication,Interventional - Drug,2011,2015,PHRI,,1,1,83
REMIT-Dapa,Remission Evaluation of Metabolic Interventions in Type 2 Diabetes with Dapagliflozin ,3,Diabetes,"To determine if in patients with recently-diagnosed T2DM, a 12-week course of forxiga, metformin, basal insulin glargine and lifestyle approaches will achieve drug-free diabetes remission in a higher proportion of patients than standard diabetes therapy at 24 weeks (3 months after the drugs are stopped). Participants will be randomized to 2 treatment groups: (a) a 12-week course of treatment with forxiga, metformin, insulin glargine and lifestyle therapy, and (b) standard diabetes therapy, and followed for a total of 64 weeks.

The primary outcome in this trial will be diabetes remission evaluated at 24 weeks after randomization.
",Publication,Interventional - Drug,2015,2018,PHRI,,1,6,154
REMIT-iDegLira,Remission Evaluation of a Metabolic Intervention for Type 2 Diabetes with IDegLira (REMIT IDegLira): A Randomized Controlled Trial,3,Diabetes,"This is a multicentre, open-label, randomized controlled trial in  patients with recently-diagnosed T2DM. Participants will be randomized to 2 treatment groups: (a) a 16-week period of lifestyle coaching support, metformin and a once-daily injection of IDegLira, and (b) standard diabetes therapy, and followed for a total of 68 weeks (1 year and 4 months). In all participants with HbA1C<7.3% at the 16 week visit, glucose-lowering medications will be discontinued and participants will be encouraged to continue with lifestyle modifications and regular glucose monitoring. Participants with HbA1C ? 7.3% at this visit or whose HbA1C is ? 7.0% at or after the 28 week visit will receive standard glycemic management. The primary outcome is drug-free diabetes remission defined as a HbA1c <6.5% without use of glucose-lowering agents for at least 12 weeks.",Publication,Interventional - Drug,2019,2023,PHRI,,1,8,159
REMIT-iGarLixi,Remission Evaluation of Metabolic Interventions in Type 2 Diabetes with iGarLixi,3,Diabetes,"To determine if in patients with recently-diagnosed T2DM, a 12-week course of iGlarLixi (combined basal insulin glargine and lixisenatide), metformin, and lifestyle approaches will achieve drug-free diabetes remission in a higher proportion of patients than standard diabetes therapy at 24 weeks (3 months after the drugs are stopped). Participants will be randomized to 2 treatment groups: (a) a 12-week course of treatment with iGLarLixi, metformin, and lifestyle therapy, and (b) standard diabetes therapy, and followed for a total of 64 weeks.

The primary outcome in this trial will be diabetes remission evaluated at 24 weeks after randomization.
",Publication,Interventional - Drug,2017,2020,PHRI,,1,8,161
REMIT-Sita,"An open-label, randomized, parallel design trial to compare the efficacy of a sitagliptin-based metabolic intervention versus standard diabetes therapy in inducing remission of type 2 diabetes.",3,Diabetes,"To determine if in patients with recently-diagnosed T2DM, a 12-week course of sitagliptin, metformin, basal insulin glargine and lifestyle approaches will achieve drug-free diabetes remission in a higher proportion of patients than standard diabetes therapy at 24 weeks (3 months after the drugs are stopped). Participants will be randomized to 2 treatment groups: (a) a 12-week course of treatment with sitagliptin, metformin, insulin glargine and lifestyle therapy, and (b) standard diabetes therapy, and followed for a total of 64 weeks.

The primary outcome in this trial will be diabetes remission evaluated at 24 weeks.
",Publication,Interventional - Drug,2016,2019,PHRI,,1,6,102
REMIT-SITA (MER,,,,,,,,,,,,,
Remote IMPACT,Remote IscheMic Preconditioning in CArdiAc Surgery Trial,9,Perioperative,"To determine the effect of remote ischemic preconditioning (RIPC) on surrogate endpoints of cardiac and kidney injury and determine what combination of limbs used and number of cycles is most effective. 

Primary Outcome Measures
1) recruitment rate per centre
2) follow-up completeness at 30 days and 6 months after surgery
Secondary Outcome Measures
1) Peak change in CK-MB in the first 24 hours after surgery
2) Peak change in serum creatinine in the first 4 days after surgery
3) Number of days in the intensive care unit and in hospital after surgery
4) Incidence of death from any cause at 30 days after surgery
5) Incidence of new dialysis required within 30 days after surgery
6) Incidence of documented myocardial infarction at 30 days after surgery
7) Incidence of documented stroke at 30 days after surgery
",Publication,Interventional - Procedure,2011,2012,PHRI,,4,11,258
REPAIR,Inflammation REduction to Prevent cArdiovascular Injury in Renal disease ,1,Renal,"Phase 1 basket trial including 2 open-label single-arm cohorts: REPAIR CKD cohort and REPAIR Dialysis cohort. To evaluate the tolerance of colchicine in patients with advanced CKD (eGFR ≤ 30 ml/min/1.73m2 but not receiving dialysis) and patients receiving chronic dialysis, in efforts to optimally design a large trial testing the efficacy and safety of colchicine to reduce major CV events. ",Planning,Interventional - Drug,2024,,PHRI,,,3,200
RESOLVD,Randomized Evaluation of Strategies for Left Ventricular Dysfunction,16,Heart Failure,"The RESOLVD Pilot Study was a trial of combination neurohormonal blockade using an angiotensin II antagonist (candesartan), an angiotensin-converting enzyme inhibitor (enalapril) and a beta-blocker (metoprolol) in patients with congestive heart failure (CHF).

End points included the change in 6MWD, EF, ventricular volumes, neurohormone levels, QOL, and NYHA-FC at weeks 17 or 18 and 43. Tolerance and adverse and clinical events were documented, with serious adverse events reviewed centrally.
",Publication,Interventional - Drug,1996,1998,,,,,768
ReVIvAL Pilot,Ross for Valve replacement In Adults,9,Perioperative,"REVIVAL pilot trial: Is it feasible to conduct a large randomized controlled trial (RCT) evaluating the efficacy and safety of the Ross procedure compared to conventional aortic valve replacement (AVR)? Specifically, can participating centres recruit an average of 6 patients per year using the expertise-based RCT protocol we have developed with acceptable compliance to allocation? ",Close Out,Interventional - Procedure,2019,2022,PHRI,,5,8,106
REVIVE,REDUCING MORTALITY IN ADULTS WITH ADVANCED HIV DISEASE (REVIVE),4,Infectious Diseases,"A randomised, double blinded, placebo-controlled, multicentre trial of
azithromycin prophylaxis for advanced HIV disease",Recruitment,Interventional - Drug,2023,2028,PHRI,,6,20,498
REVSTARTS,"REVerSal of the antiplatelet effects of Ticagrelor in combination with Aspirin, using normal plateleTS",8,CVD Prevention,,Publication,Interventional - Drug,2016,2017,PHRI,,1,1,10
REWIND,The Effect of Dulaglutide on Major Cardiovascular Events in Patients with Type 2 Diabetes: Researching Cardiovascular Events with a Weekly INcretin in Diabetes (REWIND),3,Diabetes,"The REWIND trial recruited 9901 middle-aged people with type 2 diabetes, a mean HbA1c of 7.3% and additional cardiovascular risk factors, and allocated them to weekly subcutaneous injections of either dulaglutide (1.5 mg) or placebo. During more than five years of follow-up, dulaglutide reduced the risk of cardiovascular events in people with and without prior cardiovascular disease.
Visit phri.ca/rewind.
Download the REWIND ADA 2019 Gerstein PHRI presentation slides.

Time to first occurrence (after randomization) of the composite endpoint of death from CV causes, nonfatal MI, or nonfatal stroke.
",Publication,Interventional - Drug,2011,2018,Eli Lilly,,24,404,9901
RICH LEGACY,"Research in International Cardiovascular Health - Lifestyles, Environments and Genetic Attributes in Children and Youth Study",2,Childhood Risk Factors,"To determine obesity determinants in Indians and Indo-Canadians: Social and Environmental effects in children and Youth

",Publication,Observational,2012,2016,PHRI,,2,3,2341
RIISC-THETIS Canada,"Reducing inflammation in ischemic stroke with colchicine (riisc), and ticagrelor in high-risk patient-extended treatment in ischemic stroke (thetis)",10,Stroke,"Evaluation of low dose colchicine and ticagrelor in prevention of ischemic
stroke in patients with stroke due to atherosclerosis”
“Reducing inflammation in ischemic stroke with colchicine (riisc), and ticagrelor in high-risk",New,Interventional - Drug,,,,,,,
Risk Factors for Sub-optimal Dialysis Initiation,Risk Factors for Sub-optimal Dialysis Initiation,1,Renal,"At the end of 2014, 20,690 Canadians were receiving chronic dialysis. Unfortunately, many of these patients started dialysis sub-optimally. There are various definitions for a sub-optimal dialysis start, but most include the criteria of dialysis initiation during a hospitalization and/or with a central venous catheter (CVC). Patients with a sub-optimal dialysis start have increased morbidity and mortality. As well, patients who start dialysis without appropriate preparation have likely been denied the opportunity to make an informed decision with respect to their end stage renal disease (ESRD) care. There is also the important consideration of cost. It is estimated that preventing one sub-optimal dialysis start could save the Canadian Healthcare System $20,275 in hospital costs.The first step towards reducing the incidence of sub-optimal dialysis initiation is to identify important risk factors. Our study will be the first to prospectively examine actionable and modifiable risk factors for sub-optimal dialysis initiation among patients with advanced chronic kidney disease (CKD) followed in multi-care kidney clinics (MCKC). MCKCs are multi-disciplinary clinics wherein patients are prepared for renal replacement therapy (RRT).

To determine if reduced health literacy (HL) is associated with an increased risk of hospitalizations, medication non-adherence, and patient related delayed decision-making with respect to RRT preparationTo determine patient perspectives regarding RRT preparation. The results will help inform the design of a multi-faceted intervention to be tested in a cluster randomized clinical trial with the ultimate aim of reducing the incidence of sub-optimal dialysis starts
.",Publication,Observational,2019,2020,PHRI,,1,4,377
RISKFACTORS,,,,,,,,,,,,,
RIVAL,"Radial versus femoral access for coronary angiography and intervention in patients with acute coronary syndromes (RIVAL): a randomised, parallel group, multicentre trial",7,Acute Coronary Syndromes,"To evaluate two strategies for arterial access, femoral vs. radial, during heart catheterization for acute coronary syndromes. The RIVAL study is designed to establish whether the overall benefits versus risks of a radial artery approach justify its routine use in patients undergoing percutaneous coronary intervention. It is anticipated that the radial approach will reduce the frequency of bleeding events in patients managed with an invasive strategy.",Publication,Interventional - Procedure,2006,2011,PHRI,,32,158,7021
ROME IV GLOBAL GI,,,,,,,,,,,,,
SAFE,Surgical Ablation of Atrial Fibrillation Efficacy (SAFE) Trial,17,Cardiac Surgery,"The SAFE trial is an international multicentre RCT of 1,808 patients undergoing cardiac surgery. The trial aims to examine the impact of concomitant surgical atrial fibrillation (AF) ablation on cardiovascular outcomes, the burden of AF, the safety of cardiac surgery, quality of life and healthcare resource requirements.",Recruitment,Interventional - Procedure,2023,2029,PHRI,,3,4,7
SAHARA,,,,,,,,,,,,,
SAHARA - Trial,The South Asian HeArt Risk Assessment - Trial,13,Population Health,"To screen 1,000 people of South Asian origin from the Greater Toronto Area and Hamilton regions in order to determine their risk for heart disease.",Publication,Interventional - Procedure,2012,2015,PHRI,,1,2,343
SCAF-HF,Prevalence of Subclinical Atrial Fibrillation in Patients with Heart Failure and the Impact on Heart Failure Hospitalization,16,Heart Failure,"Atrial Fibrillation is a very common co-morbidity in patients with Heart Failure.  In patients with HF but no prior history of clinically overt AF, subclinical AF of 1 hour or greater in duration is common (>10% of patients) and is associated with an increased risk of HF hospitalization. The study will aim to identify this subclinical AF to see whether it has impact on patient hospitalizations for heart failure.",Recruitment,Observational,2021,2022,PHRI,,2,4,60
SCHOLAR,Safety of Continuing Chemothrapy in Overt Left Ventricular Dysfunction using Antibodies to Human Epidermal Growth Factor Receptor-2,18,Cardio Oncology,"Trastuzumab has been shown to improve survival in individuals with early stage HER-2 positive breast cancer. Injury to the heart is an important complication of trastuzumab therapy. we speculate that patients receiving trastuzumab despite the development of heart injury may still have chances of surviving breast cancer long-term by using heart failure therapies. The aim of the present study is therefore to determine the safety and tolerability of trastuzumab therapy for Stage I-III HER-2 positive breast cancer in patients with mild or moderate heart failure or LV dysfunction.

The primary safety outcome will be the development of dose-limiting toxicity, defined as the occurrence of any of:a). cardiovascular death, b). left ventricular ejection fraction (LVEF) &lt;40% together with any heart failure symptoms, or c). LVEF &lt;35%The efficacy outcome will be the number of trastuzumab cycles completed after enrollment as a proportion of the originally planned number of trastuzumab cycles.
",Publication,Observational,2016,2019,PHRI,,1,1,20
SCHOLAR 2,Safety of Continuing CHemotherapy in Overt Left Ventricular Dysfunction using Antibodies to Human Epidermal Growth Factor Receptor-2 (SCHOLAR-2),18,Cardio Oncology,"The objectives of SCHOLAR-2 are to evaluate whether is it safe and effective to continue trastuzumab in patients with early stage HER2 positive breast cancer who develop mild, minimally symptomatic or asymptomatic systolic left ventricular dysfunction.
Primary Outcome: 
The primary efficacy outcome will be the likelihood of completing trastuzumab as planned at its initiation. The primary safety outcome will be left ventricular ejection fraction.",Recruitment,Interventional - Drug,2021,2025,PHRI,,4,3,44
SECURE,The Study to Evaluate Carotid Ultrasound Changes in Patients Treated With Ramipril and Vitamin E (SECURE),8,CVD Prevention,"To evaluate the effects of long-term treatment with the angiotensin-converting enzyme inhibitor ramipril and vitamin E on atherosclerosis progression in high-risk patients.

Atherosclerosis progression
",Publication,Interventional - Drug,1993,1995,,,1,6,732
SHARE,Study of Health Assessment and Risk Evaluation (SHARE),13,Population Health,"To establish whether this variation can be explained by differences in disease risk factors and subclinical atherosclerosis, the SHARE and SHARE-AP evaluated sublinical atherosclerosis (carotid IMT) and conventional (smoking, hypertension, diabetes, raised cholesterol) and novel risk factors (markers of a prothrombotic state) among Canadians from four ethnic groups (Caucasians, Chinese, South East Asians and Aboriginals).

Conventional and novel CV risk factors, carotid IMT; not adjudicated
",Publication,Observational,2000,2001,,,1,1,1236
SHARE - AP,Study of Health Assessment and Risk Evaluation in Aboriginal Peoples (SHARE-AP),13,Population Health,"To establish whether this variation can be explained by differences in disease risk factors and subclinical atherosclerosis, the SHARE and SHARE-AP evaluated sublinical atherosclerosis (carotid IMT) and conventional (smoking, hypertension, diabetes, raised cholesterol) and novel risk factors (markers of a prothrombotic state) among Canadians from four ethnic groups (Caucasians, Chinese, South East Asians and Aboriginals).",Publication,Observational,2000,2001,,,,3,500
SHARE - AP ACTION,Study of Health Assessment and Risk Evaluation in Aboriginal Peoples (SHARE-AP ACTION),13,Population Health,"To determine if a household-based lifestyle intervention is effective at reducing energy intake and increasing physical activity among Aboriginal families.

",Publication,Observational,2004,2005,,,1,1,16000
SIMPLE,Shockless Implant Evaluation,5,Arrhythmia,"Cardioverter defibrillator implantation without induction of ventricular fibrillation: a single-blind, non-inferiority, randomised controlled trial (SIMPLE)",Publication,Interventional - Device,2009,2014,Boston Scientific,,18,85,2500
SIMPLE(CREDIT 2),,,,,,,,,,,,,
SIRS,Steroids In caRdiac Surgery Trial (SIRS Trial),17,Cardiac Surgery,"Multicentre, international, randomized, controlled, double-blind placebo-controlled trial of high-risk adult patients undergoing cardiopulmonary bypass. Patients will be randomly allocated to receive 500 mg of methylprednisolone divided into two intravenous doses of 250 mg each, one during anesthetic induction and the other on CPB initiation, or matching placebo.

Adjudicated. 1) Total mortality within 30 days post-surgery and 2) Composite of total mortality, MI, stroke, renal failure, or respiratory failure within 30 days post-surgery
",Publication,Interventional - Drug,2007,2014,PHRI,,18,86,7507
SMAC AF,SMAC AF,9,Perioperative,"Atrial fibrillation (AF) is a very common arrhythmia causing many symptoms resulting in numerous hospitalizations. Catheter ablation is a technique that has evolved significantly to improve symptomatic recurrences, but does not offer a 100% cure rate. We hypothesize that the use of aggressive BP lowering will reduce the rate of recurrent AF after catheter ablation for AF. We plan a randomized clinical trial of aggressive BP lowering versus standard BP control to investigate this.",Publication,Interventional - Drug,2009,2016,,,,,
SMART VIEW,,,,,,,,,,,,,
SMART-AMI – LHIN 4 STEMI Registry,"Strategic Management of Acute Reperfusion & Therapies in Acute Myocardial Infaction (SMART-AMI),",15,Knowledge Translation,"To enhance the uptake of evidence-based best practices in managing patients with STEMI in our region, and to provide a """"toolbox"""" for similar regional approaches across the Province.

",Publication,Observational - Registry,2010,,,,,,5100
SMArTVIEW,Technology Enabled Self-Management: Vision for patient remote monitoring and empowerment following cardiac and vascular surgery (SMArTVIEW),9,Perioperative,"SMArTVIEW is an eHealth-enabled service delivery program that combines remote automated monitoring, education, and self-management training. SMArTVIEW is a two-stage intervention program. Stage 1 supports seniors after cardiac or major vascular surgery in hospital on the surgical unit (post-ICU). Participants are assigned automated, cableless, vital sign monitoring devices that are worn during their entire stay on the surgical unit (blood pressure cuff, respiration pod, and oxygen saturation probe). Any signs of deterioration are sent via handheld device to the primary care nurse for early intervention.
With a view to seamless transition home, Stage 2 supports these individuals at home during the first 30 days of recovery. Participants are sent home with Bluetooth enabled monitoring equipment including a tablet, blood pressure cuff, thermometer, pulse oximeter and weight scale. From home, the tablet uploads patients' vital signs and measurements automatically and sends them, via secure cloud infrastructure, to the SMArTVIEW Nurse on the surgical ward back at the hospital. The tablet interface also prompts patients to respond to brief, easy to read, daily surveys in order to inform the nurse about their status. The tablet also supports secure daily video visits and daily interaction with the nurse for postoperative assessment and support, surgical wound photographs, as well as patient access to customized educational materials.

Composite of 45-day risk of hospital readmission, emergency department and urgent care centre visits, not requiring hospital readmission.
",Close Out,Interventional - Procedure,2018,2021,PHRI,,2,2,572
SMJ LEAD ANALYSIS,,,,,,,,,,,,,
SPECT MINS,Non-Invasive Risk Stratification with Stress Single Photon Emission Computed Tomography in Patients with Mydocardial Injury following Non-Cardiac Surgery ,9,Perioperative,"Patients will undergo a SPECT MPI (Myocardial Perfusion Imaging) study shortly after the identification of MINS, and will be followed for 6 months post-surgery. We will evaluate whether the amount of ischemia identified on pharmacological stress testing with SPECT MPI predict death, myocardial infarction, heart failure or coronary revascularization at 6 months after surgery.",Publication,Observational,2016,2018,PHRI,,1,1,50
START,Understanding the determinants of adiposity among the newborns of South Asian origin in Canada and India,2,Childhood Risk Factors,"To understand why South Asian people (originating from India, Pakistan, Sr Lanka and Bangladesh) have an increased risk for developing diabetes and heart disease. In this study we will be studying the genetic (related to heredity) and environmental (related to the place one lives in) risk factors of obesity, diabetes and heart disease among South Asian people.

",Follow Up,Observational,2011,2026,PHRI,,1,1,845
STAR-T,"Safe and Timely Antithrombotic Removal - Ticagrelor (STAR-T): A Prospective, Multi center, Double-blind, Randomized, Study to Evaluate Reduction in Postoperative Bleeding by Removal of Ticagrelor with the Intraoperative use of the DrugSorb-ATR Device in Patients Undergoing on-pump Cardiothoracic Surgery within Two Days of Ticagrelor Discontinuation",17,Cardiac Surgery,"STAR-T is a trial which will determine if in patients undergoing cardiothoracic surgery on CPB within two days of ticagrelor discontinuation, intraoperative ticagrelor removal with DrugSorb-ATR will significantly reduce postoperative bleeding complications.",Publication,Interventional - Device,2023,2023,,,1,7,50
START-POAF Vanguard,Short Term Anti-aRrhythmic Therapy for Post-Operative AF in Cardiac Surgery Patients,17,Cardiac Surgery,"Atrial fibrillation (AF) is the most common complication of cardiac surgery, occurring in up to half of cases. Despite the frequency of post-operative AF (POAF), there is uncertainty and variation in its management. Better evidence is needed to guide the management of these patients, particularly with respect to rhythm control therapy in the weeks and months following surgery. 

The START-POAF Randomized Trial will assess whether among patients with new-onset POAF following cardiac surgery, it is feasible to enroll in a randomized trial testing different durations of amiodarone therapy. It will also explore the impact of 2 different durations of amiodarone treatment on the rate of AF in the first 28 days following enrollment, as measured using continuous ECG monitoring.

This vanguard trial will enroll 300 patients from 3 Canadian centres. Eligible participants with new-onset AF following cardiac surgery will be randomized 1:1 to 4 or 0 weeks of open-label amiodarone maintenance therapy following an in-hospital load. We will encourage concomitant rate control with beta-blockers and outline criteria for electrical cardioversion. All participants will wear an ECG monitor for 28 days following enrolment. The main exploratory outcome will be the burden of AF (defined as % time in AF) in the first 28 days following enrollment, as adjudicated by a blinded expert.
",Planning,Interventional - Drug,2024,2025,PHRI,,,4,400
STOP HARM,The Strategy To Prevent Hemorrhage Associated with anticogulation in Renal disease management ,1,Renal,"Patients with severe chronic kidney disease who develop atrial fibrillation are at high risk of stroke. The use of oral anticoagulation in dialysis patients is controversial and warfarin has uncertain efficacy and is associated with a 10â€20% risk of major bleeding each year. New oral anticoagulants are either contraâ€indicated or unstudied in this population. The Watchman device may be an ideal therapy in this population, as it is likely to reduce embolic stroke in dialysis patients with atrial fibrillation who cannot take longâ€term oral anticoagulants. Among patients currently receiving oral anticoagulants, implantation of the Watchman device would allow discontinuation of oral anticoagulation, thereby reducing longâ€term bleeding risk.

The primary outcome of STOP HARM will be the occurrence of major bleeding as defined by the ISTH criteria.
",Publication,Interventional - Device,2016,,PHRI,,1,1,
STOP-CHAGAS,Phase 2 Proof-of-Activity Study of Oral Posaconazole in the Treatment of Asymptomatic Chronic Chagas Disease ,12,Neglected Diseases,To evaluate the efficacy and safety of posaconazole and posaconazole in combination with benznidazole given orally for 60 days to reduce parasitemia as measured by qualitative Polymerase Chain Reaction (PCR) at the end of 120 days of follow-up post treatment in subjects with asymptomatic chronic Chagas disease.,Publication,Interventional - Drug,2011,2015,Merck,,5,19,120
STOP-HARM,,,,,,,,,,,,,
STRATUS,Small-Volume Tubes to Reduce Anemia and Transfusion,7,Acute Coronary Syndromes,"Using a stepped wedge cluster randomized trial design, the specific aim of the STRATUS study is to evaluate whether the routine use of small-volume blood collection tubes (2 ? 3 mL) reduces RBC transfusion compared to standard-volume blood collection tubes (4 ? 6 mL) in adult ICU patients.",Close Out,Interventional - Procedure,2019,2021,PHRI,,1,25,16000
STRATUS Pilot,Small-Volume Tubes to Reduce Anemia and Transfusion (STRATUS): A Pilot Study,7,Acute Coronary Syndromes,"STRATUS will evaluate the use of small-volume (""soft-draw"") blood collection tubes for laboratory testing in reducing anemia and transfusion in intensive care unit patients without significant adverse consequences. This is a simple, cost-neutral intervention that could improve the quality of patient care and reduce the harms of frequent laboratory testing. The STRATUS Pilot Study is a prospective observational study (before-after design) to assess the feasibility of implementing a full-scale randomized trial powered for clinical outcomes (RBC transfusion, incidence and severity of anemia). Identification of barriers and facilitators of implementation will enhance the conduct of the full-scale trial and facilitate incorporation of the intervention into routine practice.
",Publication,Interventional - Procedure,2017,2018,PHRI,,1,1,369
STRATUS-HAHSO,,,,,,,,,,,,,
STRIVE ,"Adjunctive, low‐dose intracoronary recombinant tissue plasminogen activator
versus placebo for primary PCI in patients with ST segment elevation myocardial infarction",7,Acute Coronary Syndromes,"STRIVE will evaluate the use of adjunctive, low-dose intracoronary tissue plasminogen activator during primary percutaneous coronary intervention (PCI) for patients with ST elevation myocardial infarction (STEMI) in reducing major adverse cardiovascular events. STRIVE will assess the efficacy of a novel approach to prevent and treat microvascular obstruction and reduce major cardiovascular events using intracoronary administration of very low-dose fibrinolytic (tissue plasminogen activator, tPA) directly into the culprit coronary artery during primary PCI.  The objective is to determine if low-dose adjunctive intracoronary tPA (10 mg or 20 mg) will reduce the incidence of post-procedural myocardial blush (MBG) grade 0/1 or distal embolization in patients undergoing primary PCI for STEMI.",Recruitment,Interventional - Drug,2018,2020,PHRI,,1,3,205
STRIVE Pilot,,,,,,,,,,,,,
SUPERIOR SVG,Surgical and Pharmacological Novel Interventions to Improve Overall Results of Saphenous Vein Graft Patency in Coronary Artery Bypass Grafting Surgery: An International Multi-Center Randomized Controlled Clinical Trial,17,Cardiac Surgery,"Surgery for blocked arteries in the heart (coronary artery bypass grafting) can be accomplished using veins from the leg sewn onto the heart to provide an alternate path for blood flow, i.e. 'bypassing' the blockages. These veins themselves can block over time. This may result in part simply from the trauma from the surgery, in other words, by removing the vein from the leg and then sewing it to the heart. Another mechanism may be the abnormal metabolic processes within the body responsible for the plaque build-up of the heart arteries in the first place - this may lead to the blockages of the veins used for bypass. In the present era of heart bypass surgery, this incidence of veins blocking remains high despite advances in blood thinners and cholesterol medications. This study is designed to determine whether two new interventions may potentially reduce the incidence of blockages in the veins used for heart bypass surgery. One is a surgical technique significantly reducing the trauma associated with removing the leg vein prior to use as a bypass graft onto the heart. The second intervention is the use of a nutritional supplement before and after surgery which is composed of fish oils. The study will recruit sufficient patients to provide strong and relevant conclusions regarding both study questions. It will be highly applicable also because it will include approximately 1,550 patients from approximately 50 hospitals across many countries. We believe these techniques will result in significantly less vein blockages in patients one year after heart bypass surgery.

Primary Outcome Surgical Arm: Proportion of study SVGs (â€œno touchâ€ versus conventionally harvested) which are totally (100%) occluded on cardiac CT angiography at 1-year post-CABG and death due to cardiovascular or unknown causes. Pharmacological Arm: Proportion of patients with greater than or equal to 1 graft (saphenous or arterial) totally (100%) occluded on cardiac CT angiography at 1-year post-CABG and death due to cardiovascular or unknown causes, comparing the fish-oil to placebo groups.
",Publication,Interventional - Procedure,2011,2015,PHRI,,3,15,250
SWITCH-AF,,10,Stroke,,New,,,,PHRI,,,10,100
TADA,,,,,,,,,,,,,
TADA Study - The Treatment with APO-Dabigatran Analysis Study,Impact of Rabeprazole-induced Elevated Gastric pH on APO-Dabigatran exposure in healthy volunteers,8,CVD Prevention,"Background: Optimization of the formulation of Pradaxa® (Dabigatran etexilate) provides consistent absorption in patients, independent of gastric pH. This has been demonstrated in clinical trials, where clinical outcomes with and without proton pump inhibitors (PPIs) were evaluated and shown to be equivalent. Many patients taking oral anticoagulants are elderly and have an increased gastric pH, often through commonly prescribed comedications such as PPIs. Generic formulations of dabigatran etexilate are required to demonstrate bioequivalence (BE) to the originator in young healthy volunteers to receive regulatory approval in Canada. One generic currently on the market in Canada is produced by Apotex Inc. (APO-Dabigatran). Apotex Inc. have changed the acid in the tablet from tartaric to fumaric. They were, however, not required to demonstrate the same BE in those with an altered gastric pH such as older patients or on comedications (e.g. PPIs).  
Objective: To determine any influence of PPIs on absorption of generic dabigatran available in Canada.
Methodology: Healthy male volunteers will participate in the study. All procedures performed will be done in accordance with the ethical standards of the institutional research committee and according to the declaration of Helsinki. All participants will provide written informed consent. 
APO-dabigatran will be used for an open, cross-over design in up to 50 volunteers who will receive a single dose of 150 mg. Blood samples will be taken at defined time points: 0/trough, 30, 60, and 90 min and 2, 3, 4, 6, 8, and 24 h after administration. Volunteers will then undergo a wash-out period (4 days) while taking a PPI once daily (rabeprazole). On day 5, a repeat single APO-dabigatran 150 mg tablet will be administered in addition to the PPI. Blood sampling will occur as performed previously.
Assessment and Endpoints: Dabigatran levels for APO-dabigatran (total and active metabolite) will be the assessment for the area under the concentration–time curve from baseline to the last quantifiable data point (AUC0–tz), and the maximum plasma concentration (Cmax) of total, with or without PPI. Secondary outcomes include dabigatran-specific assays such as diluted thrombin time (dTT) and aPTT. Safety will be assessed throughout the study by: frequency of AEs and vital signs (blood pressure, pulse rate). 
",Publication,Interventional - Drug,2020,2021,PHRI,,1,1,35
TAKEMEDS,,,,,,,,,,,,,
TaRGET,Targeted Therapy with Glycogen Synthase Kinase-3 Inhibition for Arrhythmogenic Cardiomyopathy,5,Arrhythmia,"Multi-centre, prospective, randomized, double-blind, placebo-controlled trial; comparing tideglusib (1000 mg daily) to placebo.",Planning,Interventional - Drug,2024,,PHRI,,,15,120
TARGET ARVC,,,,,,,,,,,,,
